Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Concept: Platform,Concept: Service,Concept: Technology,Concept: Company,Concept: Personal Information,Concept: Other Brands,Concept: Non-Brands,Concept: Hosting Provider,Concept: Others,Concept: Control Panel
cms hosting,INR,50,0%,0%,Low,18,53.15,153.6,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
bulk domain checker,INR,500,900%,0%,Low,30,19.88,144.05,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dns website,INR,500,0%,0%,Low,17,11.94,96.04,,,,,,,,,,,,,,,,,,,,,,website,,Non-Brands,,,
amazon web services hosting cost,INR,50,0%,0%,Medium,36,18.74,111.87,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
static site hosting,INR,50,0%,0%,Low,28,38.2,194.19,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
hostgator cloud hosting,INR,500,0%,0%,Medium,40,78.79,174.29,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,hostgator,,,,,,
godaddy domain renewal,INR,500,0%,0%,Low,23,5.57,316.74,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
domainrightnow,INR,50,0%,0%,Medium,39,77.99,204.52,,,,,,,,,,,,,,,,,,,,,,,domainrightnow,,,,
wixdns,INR,50,0%,0%,Low,14,12.73,123.74,,,,,,,,,,,,,,,,,,wix,,,,,,,,,
porkbun free domain,INR,500,0%,0%,Low,24,13.33,71.63,,,,,,,,,,,,,,,,,,,,,,,"free, porkbun",,,,
host a website on aws ec2,INR,50,0%,0%,Low,17,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",aws,,website,,,,,
wordpress hosting plans,INR,500,0%,0%,Medium,44,119.38,557.09,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting",,,website,,,,,
godaddy cloud server price,INR,50,0%,0%,High,86,29.97,881.48,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,godaddy,,,,,,
premium domains for sale,INR,50,0%,0%,Medium,62,13.53,128.13,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
instant domain name search,INR,50,0%,-90%,Low,16,23.75,148.82,,,,,,,,,,,,,,,,,,,,,,name,instant domain search,,,,
godaddy dns management,INR,500,0%,0%,Low,10,26.31,150.41,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
private domain registration,INR,50,0%,0%,Low,29,35.81,163.15,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
domain tv,INR,500,0%,0%,Low,20,11.14,118.58,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
travel domain,INR,500,0%,0%,Low,24,18.74,205.33,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
lcn domain,INR,50,0%,0%,Low,30,29.88,114.6,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
transfer domain to shopify,INR,50,0%,0%,Low,6,113.8,2674.01,,,,,,,,,,,,,,,,,,shopify,,,,,,,,,
00webhosting,INR,50,0%,0%,Low,6,66.85,236.36,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,00webhost,,000webhost,,
by domain name,INR,500,0%,-90%,Medium,53,20.64,130.12,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
namemesh company name generator,INR,50,0%,0%,Low,29,,,,,,,,,,,,,,,,,,,,,,,,name,namemesh,,,,
godaddy forward domain,INR,500,0%,0%,Low,5,149.62,319.93,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
godaddy renewal,INR,500,0%,0%,Low,15,49.44,331.86,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
best cloud hosting providers,INR,50,0%,-90%,Medium,51,84.68,260.72,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",,,,,Non-Brands,,,
aws web server hosting,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
website design and hosting,INR,50,0%,0%,High,71,40.59,346.99,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
vercel custom domain,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
buy and sell domain names,INR,50,0%,0%,Low,31,11.14,308.78,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dedicated web hosting,INR,50,0%,0%,Medium,44,79.58,198.96,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
litespeed hosting,INR,50,0%,0%,Low,31,64.78,218.06,,,,,,,,,,,,,,,,,,,web hosting,,,,litespeed,,,,
hostinger free domain,INR,500,0%,0%,Medium,40,8.91,52.67,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting, free hosting",,,,free,,hostinger,,
github custom domain,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,github,,,,
own email domain,INR,50,0%,-90%,Medium,50,97.08,18573.26,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
country domains,INR,500,0%,0%,Low,3,7.16,85.95,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain extensions list 2021,INR,50,0%,-90%,Low,8,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,2021,
domain name and hosting,INR,500,0%,0%,Medium,61,24.43,306.8,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting",,,name,,Non-Brands,,,
free domain name without hosting,INR,500,0%,0%,Medium,57,10.35,67.19,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting, free hosting",,,name,free,,,,
wildcard subdomain,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
heroku dns,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,,,,heroku,,,,,,,
free web hosting wordpress,INR,500,0%,0%,Medium,56,33.43,223.63,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,
godaddy linux hosting,INR,500,0%,0%,Medium,36,40.59,1193.76,,,,,,,,,,,,,,,,,,,"linux hosting, web hosting",,godaddy,,,,,,
icann fee,INR,50,0%,-90%,Low,6,21.24,283.32,,,,,,,,,,,,,,,,,,,,,,name,icann,,,,
dreamhost pricing,INR,50,0%,0%,Medium,38,70.43,389.96,,,,,,,,,,,,,,,,,,,web hosting,,dreamhost,,,,,,
business web hosting,INR,500,0%,0%,Medium,44,32.04,253.87,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
amazon server hosting price,INR,50,?,0%,Medium,43,17.82,129.72,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
best web hosting for small business 2020,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
yandex mail for domain,INR,50,0%,0%,Low,8,28.74,299.73,,,,,,,,,,,,,,,,,,,,yandex,,email,,,,,
host website google cloud,INR,50,?,?,Low,0,,,,,,,,,,,,,,,,,,,,,"website hosting, cloud hosting, web hosting",google,,website,,,,,
namecheap student,INR,50,0%,-90%,Low,10,17.34,75.6,,,,,,,,,,,,,,,,,,,,,namecheap,,free,,,,
best web hosting companies,INR,500,900%,0%,Medium,47,43.77,261.28,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
anonymous domain registration,INR,50,-90%,0%,Medium,54,,,,,,,,,,,,,,,,,,,,,domain registration,,,name,anonymous,,,,
1 dollar domain,INR,50,0%,0%,High,70,24.27,132.11,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
good website names,INR,500,0%,0%,Medium,38,6.73,43.77,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
godaddy register domain,INR,50,0%,0%,Medium,40,12.82,457.21,,,,,,,,,,,,,,,,,,,domain registration,,godaddy,"website, name",,,,,
ntld,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,ntld,,,,
cheap dedicated server hosting,INR,500,0%,0%,Medium,45,177.65,371.39,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
domain se,INR,50,0%,0%,Low,14,45.36,304.81,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain storytelling,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
free subdomain hosting,INR,500,0%,0%,Medium,52,13.53,75.2,,,,,,,,,,,,,,,,,,,free hosting,,,,free,,,,
purchase url,INR,50,0%,0%,Medium,37,18.3,123.35,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
best hosting 2020,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
domain registration details,INR,500,0%,0%,Low,30,5.57,63.67,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
find my domain,INR,50,0%,0%,Medium,38,8.9,85.15,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
wordpress hosting price,INR,500,0%,0%,Medium,64,50.93,477.5,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, web hosting",,,website,,,,,
web hosting for small business,INR,50,0%,0%,Medium,61,82.65,464.77,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, business hosting, web hosting",,,website,,Non-Brands,,,
web domain purchase,INR,50,0%,0%,Medium,55,25.86,175.48,,,,,,,,,,,,,,,,,,,domain registration,,,"website, name",,Non-Brands,,,
cyou domain,INR,50,0%,0%,Low,10,14.02,66.85,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain local,INR,500,0%,0%,Low,2,5.21,46.9,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
aws hosting options,INR,50,0%,0%,Medium,48,,,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
a2host,INR,50,0%,0%,Medium,36,39.9,184.63,,,,,,,,,,,,,,,,,,,web hosting,,a2 hosting,,,,,,
big daddy domain,INR,500,0%,0%,Medium,46,23.08,587.33,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
anonymous hosting,INR,50,0%,0%,Medium,54,26.36,109.44,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,anonymous,,,,
godaddy shared hosting,INR,500,0%,0%,Medium,37,20.69,1193.76,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,godaddy,,,,,,
liquid web hosting,INR,50,0%,0%,Low,30,59.78,255.46,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,liquid web,website,,,,,
it domains,INR,500,0%,0%,Low,10,26.26,123.35,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
check my domain,INR,50,0%,0%,Medium,40,16.71,63.44,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dedicated server price,INR,500,0%,0%,High,68,97.09,310.38,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
domain and email hosting,INR,50,0%,0%,Medium,50,30.24,301,,,,,,,,,,,,,,,,,,,email hosting,,,"email, address",,Non-Brands,,,
buy domain names cheap,INR,500,0%,0%,High,70,44.17,267.4,,,,,,,,,,,,,,,,,,,,,namecheap,name,,,,,
20i hosting,INR,50,0%,0%,Low,19,65.26,313.56,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
yahoo small business domain,INR,500,0%,900%,Low,28,9.46,654.18,,,,,,,,,,,,,,,,,,,,yahoo,,,,,,,
godaddy cpanel hosting,INR,500,0%,0%,Medium,39,29.66,1193.76,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,godaddy,,,,,,cpanel
top 10 web hosting,INR,500,0%,-90%,High,69,37.21,169.51,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
cloud vps server hosting,INR,50,0%,0%,Low,29,,,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, vps, web hosting",,,,,Non-Brands,,,
godaddy domain cost,INR,50,900%,900%,Medium,38,7.37,235.17,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
free email domain hosting,INR,50,0%,-90%,Medium,50,23.08,522.52,,,,,,,,,,,,,,,,,,,"web hosting services, domain web hosting, web hosting, free hosting, email hosting",,,"email, address",free,,,,
ipage hosting,INR,50,0%,0%,Low,16,53.16,288.09,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,ipage,,,,,,
best place to buy a domain,INR,50,0%,0%,Medium,58,42.98,285.71,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
free unlimited hosting with cpanel,INR,500,900%,0%,Medium,60,18.3,221.55,,,,,,,,,,,,,,,,,,,"web hosting, free hosting",,,,free,,,,cpanel
free static website hosting,INR,500,0%,0%,Low,31,28.65,264.03,,,,,,,,,,,,,,,,,,,"website hosting, web hosting, free hosting",,,website,free,,,,
namecheap pricing,INR,50,0%,0%,Low,31,50.93,1960.15,,,,,,,,,,,,,,,,,,,,,namecheap,,,,,,
domain design,INR,500,0%,0%,Low,27,17.13,192.59,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
domain and email,INR,50,0%,0%,High,69,87.96,5624.18,,,,,,,,,,,,,,,,,,,email hosting,,,"email, address",,Non-Brands,,,
amazon web services web hosting cost,INR,50,0%,0%,Medium,43,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
soap2day domains,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
dns register,INR,500,0%,0%,Low,12,15.92,160.76,,,,,,,,,,,,,,,,,,,domain registration,,,name,,Non-Brands,,,
multi domain ssl,INR,50,0%,-90%,Medium,52,57.44,373.75,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
hosting packages,INR,50,0%,0%,Medium,47,62.08,272.18,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
amazon web services hosting prices,INR,50,0%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,"web hosting services, cloud hosting, web hosting",aws,,,,,,,
best free domain,INR,500,0%,-90%,Medium,62,12.73,76.16,,,,,,,,,,,,,,,,,,,,,,,free,,,,
wix subdomain,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,wix,,,,website,,,,,
amazon website hosting,INR,50,0%,0%,Low,33,24.67,136.88,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",aws,,website,,,,,
url extensions,INR,500,0%,0%,Low,1,32.63,132.11,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
business email domain,INR,50,900%,900%,Medium,51,136.17,22421.93,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
go daddy domain name,INR,50,0%,0%,Medium,45,11.94,218.86,,,,,,,,,,,,,,,,,,,,,godaddy,name,,,,,
cloud website hosting,INR,50,0%,0%,Medium,61,75.12,310.38,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",,,website,,Non-Brands,,,
namecheap shared hosting,INR,50,0%,0%,Medium,34,68.34,1193.76,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,namecheap,,,,,,
internet domain names,INR,500,0%,0%,Low,15,9.05,100.28,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
domain offer,INR,500,900%,900%,High,71,24.33,167.92,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
web hosting packages,INR,50,-90%,0%,Medium,44,27.06,276.16,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
free website and domain,INR,50,0%,0%,High,69,28.65,329.74,,,,,,,,,,,,,,,,,,,,,,"website, name",free,,,,
cool domain names,INR,50,0%,-90%,Medium,35,12.95,143.25,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
godaddy discount,INR,50,0%,0%,Low,19,29.45,136.88,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
google wordpress hosting,INR,500,0%,0%,Medium,47,243.53,7736.34,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, cloud hosting, web hosting",google,,website,,,,,
crazy domains hosting,INR,50,0%,0%,Low,21,35.29,168.72,,,,,,,,,,,,,,,,,,,,,crazy domains,,,,,,
website hosting price,INR,500,0%,0%,Medium,60,23.94,122.56,,,,,,,,,,,,,,,,,,,"website hosting, web hosting",,,website,,Non-Brands,,,
best domain name sites,INR,50,0%,0%,Medium,59,24.31,225.22,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
aws web hosting cost,INR,50,0%,0%,Medium,39,14.64,126.54,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
godaddy transfer,INR,50,0%,0%,Low,15,229.2,713.07,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
aws domain pricing,INR,50,0%,-90%,Low,26,11.14,156.78,,,,,,,,,,,,,,,,,,,,aws,,,,,,,
google domains dns,INR,50,0%,0%,Low,18,113.8,3611.51,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
web domain availability,INR,50,0%,0%,Low,32,11.98,165.93,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
heroku domain,INR,50,0%,0%,Low,21,23.34,118.58,,,,,,,,,,,,,,,,,,,,heroku,,,,,,,
flywheel web hosting,INR,50,0%,0%,Low,16,,,,,,,,,,,,,,,,,,,,wordpress,"website hosting, wordpress hosting, web hosting",,,website,,,,,
cheapest web hosting per year,INR,500,0%,-90%,High,69,33.43,198.96,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,,website,,Non-Brands,,,
domain subdomain,INR,50,-90%,0%,Low,8,1.59,91.64,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
network solutions domain,INR,50,0%,-90%,Low,29,24.58,795.04,,,,,,,,,,,,,,,,,,,,,network solutions,name,,,,,
find expired domains,INR,500,0%,0%,Medium,42,23.88,91.2,,,,,,,,,,,,,,,,,,,,,,name,expired domains,,,,
register domain name free,INR,500,0%,0%,Medium,52,29.45,226.28,,,,,,,,,,,,,,,,,,,domain registration,,,name,free,,,,
aws wordpress hosting cost,INR,50,0%,0%,Medium,51,50.14,477.5,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, wordpress hosting, cloud hosting, web hosting",aws,,,,,,,
custom domain name,INR,50,900%,0%,Low,33,16.86,103.46,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
dns_probe_finished_nxdomain godaddy,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
domain international,INR,500,0%,0%,Low,1,7.16,22.69,,,,,,,,,,,,,,,,,,,,,,,domain international,,,,
namecheap web hosting,INR,50,0%,0%,Medium,41,28.2,192.59,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,namecheap,website,,,,,
managed dedicated server,INR,500,0%,900%,Medium,37,164.74,523.66,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
sell domain name instantly,INR,50,0%,0%,Medium,44,7.96,39,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
cloud web server hosting,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",,,website,,Non-Brands,,,
enom domain,INR,50,0%,0%,Low,20,12.26,81.18,,,,,,,,,,,,,,,,,,,,,enom,name,,,,,
ch tld,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,,,,,,,domain ch,,,,
top domains,INR,500,0%,0%,Low,21,16.71,183.04,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
gtld list,INR,50,0%,0%,Low,8,16.71,195.78,,,,,,,,,,,,,,,,,,,,,,name,gtld,,,,
web domain names,INR,50,0%,0%,Low,27,14.33,68.44,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
dns host name,INR,500,0%,0%,Low,5,14.27,42.08,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
best dedicated server,INR,500,-90%,0%,Medium,58,198.96,1058.57,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
google sites domain,INR,50,0%,0%,Medium,35,15.16,1211.26,,,,,,,,,,,,,,,,,,,,google,google domains,website,,,,,
premium domain names,INR,50,-90%,0%,Medium,56,13.53,203.73,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
namecheap github student,INR,50,0%,-90%,Low,6,15.92,59.69,,,,,,,,,,,,,,,,,,,,,namecheap,,"free, github",,,,
icann domain registration,INR,50,0%,0%,Low,29,15.11,116.96,,,,,,,,,,,,,,,,,,,domain registration,,,name,icann,,,,
personal email domain,INR,50,0%,-90%,Medium,42,98.05,18118.04,,,,,,,,,,,,,,,,,,,,,,"email, address",,Non-Brands,,,
wix website hosting,INR,50,0%,0%,Medium,34,25.47,157.58,,,,,,,,,,,,,,,,,,wix,"website hosting, web hosting",,,website,,,,,
hosting dan domain,INR,50,0%,0%,Unknown,,,,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,,,Non-Brands,,,
wordpress hosting sites,INR,50,0%,-90%,High,73,96.27,557.09,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting",,,website,,,,,
vps web hosting,INR,50,0%,0%,Low,33,82.93,304.81,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, vps, web hosting",,,website,,Non-Brands,,,
office 365 txt,INR,500,0%,0%,Low,6,57.3,140.07,,,,,,,,,,,,,,,,,,,,microsoft,,,,,,,
domain host lookup,INR,50,0%,0%,Low,32,24.67,378.42,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
cloud web hosting providers,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",,,website,,Non-Brands,,,
$1 domain,INR,50,0%,0%,Medium,40,42.98,272.18,,,,,,,,,,,,,,,,,,,,,,name,1 dollar hosting,,,,
domain broker service godaddy,INR,50,0%,0%,Low,24,25.07,326.29,,,,,,,,,,,,,,,,,,,,,godaddy,,,,,,
website owner details,INR,500,0%,0%,Low,30,4.78,92.32,,,,,,,,,,,,,,,,,,,,,,"website, name",,Non-Brands,,,
buy web hosting,INR,500,0%,0%,High,68,97.89,508.61,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,,website,,Non-Brands,,,
digitalocean domain,INR,50,0%,0%,Medium,47,47.75,389.96,,,,,,,,,,,,,,,,,,,,,digitalocean,,,,,,
go daddy web hosting,INR,500,0%,0%,Low,31,21.72,331.86,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, domain web hosting, web hosting",,godaddy,website,,,,,
cheapest tld,INR,50,0%,0%,Medium,37,27.34,121.51,,,,,,,,,,,,,,,,,,,,,,name,cheapest tld,,,,
domain maker,INR,50,0%,0%,Medium,50,23.08,167.92,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
best domain registrar 2021,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,2021,
swiss domain,INR,50,0%,0%,Low,21,32.74,143.84,,,,,,,,,,,,,,,,,,,,,,,domain ch,,,,
tld domain list,INR,50,-90%,0%,Low,26,14.6,183.04,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
free wordpress hosting with cpanel,INR,500,0%,0%,Medium,50,30.07,222.83,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,cpanel
shopify custom domain,INR,50,0%,0%,Low,14,23.88,1157.94,,,,,,,,,,,,,,,,,,shopify,,,,,,,,,
freenom signup,INR,500,0%,0%,Low,7,8.75,32.22,,,,,,,,,,,,,,,,,,,,,,,"free, freenom",,,,
free domain and hosting for wordpress,INR,500,0%,0%,Medium,65,23.88,182.25,,,,,,,,,,,,,,,,,,wordpress,"web hosting services, website hosting, domain web hosting, wordpress hosting, web hosting, free hosting",,,website,free,,,,
namecheap wordpress hosting,INR,50,0%,-90%,Medium,40,89.13,557.09,,,,,,,,,,,,,,,,,,wordpress,wordpress hosting,,namecheap,,,,,,
buy free domain,INR,500,0%,0%,Medium,64,29.93,136.09,,,,,,,,,,,,,,,,,,,,,,name,free,,,,
1on1 domain,INR,50,0%,0%,Medium,33,38.2,441.69,,,,,,,,,,,,,,,,,,,,,1&1,,,,,,
godaddy free email with domain,INR,50,0%,0%,Low,24,7.96,43.64,,,,,,,,,,,,,,,,,,,,,godaddy,"email, address",free,,,,
sell my domain name,INR,50,0%,0%,Medium,34,7.14,98.68,,,,,,,,,,,,,,,,,,,"domain web hosting, web hosting",,,name,,Non-Brands,,,
amazon aws web hosting,INR,50,0%,0%,Low,17,110.42,7958.37,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",aws,,website,,,,,
wix custom domain,INR,50,0%,0%,Low,8,65.26,84.36,,,,,,,,,,,,,,,,,,wix,website hosting,,,website,,,,,
top domain names,INR,500,900%,0%,Low,26,11.94,113.48,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
google tld,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,,,,google,google domains,,,,,,
rs tld,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,,,,,,name,,Non-Brands,,,
namecheap reseller,INR,50,0%,0%,Low,30,23.88,250.69,,,,,,,,,,,,,,,,,,,"domain web hosting, reseller hosting, web hosting",,namecheap,,,,,,
digitalocean web hosting,INR,50,0%,-90%,Medium,41,97.09,299.25,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting",,digitalocean,website,,,,,
best cloud web hosting,INR,50,0%,0%,Medium,39,102.09,253.08,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, cloud hosting, web hosting",,,website,,Non-Brands,,,
website and email hosting,INR,50,0%,0%,Medium,55,49.34,454.42,,,,,,,,,,,,,,,,,,,"web hosting services, website hosting, web hosting, email hosting",,,"website, email",,Non-Brands,,,
domain hunter gatherer,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,,,,,,,domain hunter gatherer,,,,
cheap shared hosting,INR,500,900%,0%,High,77,62.07,273.77,,,,,,,,,,,,,,,,,,,"web hosting services, web hosting",,,,,Non-Brands,,,
dns hosting provider,INR,50,0%,0%,Medium,40,26.41,270.14,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
pc domain,INR,50,0%,0%,Low,7,18.84,140.86,,,,,,,,,,,,,,,,,,,,,,,,Non-Brands,,,
bluehost reseller,INR,50,0%,0%,Low,23,14.33,397.92,,,,,,,,,,,,,,,,,,,"reseller hosting, web hosting",,bluehost,,,,,,
